,2019-12-01,2019-12-15,2019-12-29,2020-01-12,2020-01-26,2020-02-09,2020-02-23,2020-03-08,2020-03-22,2020-04-05,2020-04-19,2020-05-03,2020-05-17,2020-05-31,2020-06-14,2020-06-28,2020-07-12,2020-07-26,2020-08-09,2020-08-23,2020-09-06,2020-09-20,2020-10-04,2020-10-18,2020-11-01,2020-11-15,2020-11-29,2020-12-13,2020-12-27,2021-01-10,2021-01-24,2021-02-07,2021-02-21,2021-03-07,2021-03-21,2021-04-04,2021-04-18,2021-05-02,2021-05-16,2021-05-30,2021-06-13,2021-06-27,2021-07-11,2021-07-25,2021-08-08,2021-08-22,2021-09-05,2021-09-19,2021-10-03,2021-10-17,2021-10-31,2021-11-14,2021-11-28,2021-12-12,2021-12-26,2022-01-09,2022-01-23,2022-02-06,2022-02-20,2022-03-06,2022-03-20,2022-04-03
Europe / Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.011399999999999999,0.0262,0.031200000000000002,0.0475,0.0583,0.069,0.0915,0.1388,0.1917,0.2556,0.3283,0.44146,0.5395,0.6476999999999999,0.7175,0.7751,0.8372833333333334,0.8589714285714286,0.8680285714285715,0.8737857142857143,0.8775142857142857,0.8830928571428571,0.8881,0.89345,0.8986,0.9031999999999999,0.9089,0.9147,0.9257,0.9259999999999999,0.9259999999999999
Europe / Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0106,0.0263,0.032400000000000005,0.0412,0.0529,0.0661,0.07629999999999999,0.12380000000000001,0.1873,0.27399999999999997,0.3373,0.42590000000000006,0.5415,0.6377,0.6825,0.7106,0.7206999999999999,0.7299,0.7359,0.7411,0.7453,0.7502,0.7543000000000001,0.758,0.7598999999999999,0.7619,0.768,0.7783,0.7820999999999999,0.7844,0.7853
Asia / Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017666666666666666,0.005699999999999999,0.0083,0.015600000000000001,0.03,0.0593,0.1235,0.1968,0.2647,0.339975,0.4108,0.47887500000000005,0.54295,0.6122,0.6731999999999999,0.7238,0.7547,0.7709999999999999,0.7779,0.781725,0.7882384615384616,0.7906,0.7925,0.7942,0.7959999999999999,0.79725,0.7992
Asia / Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.025,0.0393,0.0519,0.08560000000000001,0.1496,0.2053,0.2498,0.3074,0.35100000000000003,0.3751,0.41859999999999997,0.5324,0.6744,0.7418,0.7683,0.7845,0.7965000000000001,0.8043,0.8106,0.8183,0.8242,0.8314,0.8371,0.8421,0.8487,0.8637999999999999,0.8815000000000001,0.8906000000000001,0.8991,0.9057
Europe / Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
Europe / Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0096,0.0138,0.0159,0.0163,0.0167,0.0235,0.0321,0.0521,0.0892,0.13369999999999999,0.17809999999999998,0.2466,0.3172,0.3908,0.467,0.5371,0.5912,0.6355,0.6716,0.7005,0.7173,0.727,0.7363,0.736754054054054,0.7372081081081081,0.74076,0.75315,0.7601,0.7635,0.7743,0.7771
Europe / Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0222,0.0254,0.0316,0.051399999999999994,0.058600000000000006,0.0717,0.1063,0.1425,0.198,0.2703,0.3184,0.3655,0.3921,0.4144,0.4355,0.454,0.4803,0.4997,0.5279,0.5372,0.5433,0.5508,0.5623,0.5702,0.5748,0.5803,0.5836,0.5856,0.5863,0.5867,0.5870000000000001
Asia / South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0004,0.0011,0.0022,0.0059,0.0199,0.0436,0.060700000000000004,0.0929,0.1173,0.1371,0.1542,0.22949999999999998,0.3503,0.43579999999999997,0.5303,0.6505,0.7574,0.7848,0.8001,0.8149,0.826,0.8406,0.8553000000000001,0.8609,0.8642,0.8656999999999999,0.8669,0.8675
Asia / Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007000000000000001,0.12539999999999998,0.23129999999999998,0.3248,0.4108,0.4935,0.5233,0.5378000000000001,0.5463,0.551,0.5548,0.5565,0.5582,0.5621,0.5746,0.5843,0.5895,0.5969,0.6047,0.612,0.6168,0.6198,0.6221,0.6239,0.6255,0.6355,0.644,0.6537000000000001,0.6579,0.659,0.6594,0.6597,0.66
Europe / Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0078000000000000005,0.0091,0.0098,0.0104,0.0137,0.015600000000000001,0.03,0.06709999999999999,0.1435,0.2281,0.2755,0.3318,0.3554,0.3763,0.39490000000000003,0.4139,0.4335,0.4639,0.5025999999999999,0.5434,0.5979,0.6333,0.6589,0.6717,0.6812,0.6872,0.6915,0.6945999999999999,0.6962,0.6970999999999999,0.6977
Europe / Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.0281,0.0593,0.0839,0.0916,0.10830000000000001,0.1273,0.1459,0.16149999999999998,0.1754,0.204,0.2737,0.33840000000000003,0.4127,0.45020000000000004,0.49420000000000003,0.5294,0.5562,0.5721,0.5835,0.5921,0.5987,0.6045,0.6102000000000001,0.6145,0.6174000000000001,0.6199,0.6215999999999999,0.6224000000000001,0.623
Europe / Lithuania / Vilniaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034000000000000002,0.0176,0.0256,0.0326,0.0473,0.0667,0.07919999999999999,0.1155,0.16820000000000002,0.2223,0.2913,0.3697,0.4243,0.4518,0.48619999999999997,0.5364,0.5727,0.5954999999999999,0.6145,0.6299,0.6416,0.6507,0.6607999999999999,0.6711,0.6781999999999999,0.685,0.6897,0.6931999999999999,0.6947,0.6955,0.6959000000000001,0.6962999999999999
North America / USA / Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.0339,0.0663,0.1124,0.1574,0.21420000000000003,0.2724,0.3293,0.36310000000000003,0.38280000000000003,0.4054,0.4216,0.4351,0.4407,0.4468,0.4542,0.46353333333333335,0.47740000000000005,0.4865,0.4965,0.5049,0.5119,0.518,0.5289,0.5384249999999999,0.5429999999999999,0.5499,0.5543,0.5579,0.5605,0.5623,0.5643
Europe / Germany / Saxony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
Asia / Japan / Osaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017666666666666666,0.005699999999999999,0.0083,0.015600000000000001,0.03,0.0593,0.1235,0.1968,0.2647,0.339975,0.4108,0.47887500000000005,0.54295,0.6122,0.6731999999999999,0.7238,0.7547,0.7709999999999999,0.7779,0.781725,0.7882384615384616,0.7906,0.7925,0.7942,0.7959999999999999,0.79725,0.7992
Europe / Sweden / Skane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.008,0.0226,0.031400000000000004,0.04019999999999999,0.053399999999999996,0.0689,0.0753,0.1011,0.1497,0.22640000000000002,0.3069,0.3594,0.3953,0.45,0.524,0.5915,0.6303,0.654,0.6674,0.6769,0.6853,0.6993,0.7132999999999999,0.7221,0.7265,0.7361,0.7408,0.7445999999999999,0.7468,0.7482,0.7490000000000001
Europe / Germany / Saxony Anhalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
Europe / France / Grand Est,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0176,0.028999999999999998,0.0365,0.0466,0.0675,0.0981,0.1335,0.1641,0.21489999999999998,0.2914,0.3764,0.4537,0.5028,0.5573,0.6154999999999999,0.6454000000000001,0.6634,0.6748000000000001,0.6827,0.6896,0.6984,0.7132999999999999,0.7298,0.7451000000000001,0.7592,0.7693000000000001,0.7765000000000001,0.7794,0.7805,0.7811
North America / USA / Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0318,0.0582,0.0862,0.1485,0.2376,0.3161,0.37770000000000004,0.46380000000000005,0.5154,0.5513,0.5834,0.599,0.6101,0.6212,0.6374,0.6536000000000001,0.6696,0.6859999999999999,0.6988,0.7093,0.7170000000000001,0.7242,0.7482,0.7605999999999999,0.7720999999999999,0.7837000000000001,0.7944,0.8037,0.8088,0.813,0.8168000000000001
North America / USA / Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.036000000000000004,0.06405,0.09029999999999999,0.1335,0.1821,0.233,0.2664,0.29510000000000003,0.3122,0.32549999999999996,0.3432,0.3579,0.3657,0.37560000000000004,0.3986,0.42383333333333334,0.4436,0.4571,0.4675,0.4771,0.4829,0.48828,0.4954,0.5012,0.507,0.5151,0.5206000000000001,0.5241666666666667,0.5268,0.5302,0.5322
North America / USA / Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0275,0.056799999999999996,0.0964,0.1383,0.19879999999999998,0.2758,0.3245,0.3619,0.38409999999999994,0.4033,0.4302,0.4439,0.4521,0.462,0.4756,0.487903448275862,0.49246551724137927,0.4970275862068965,0.5015896551724137,0.5072,0.5146999999999999,0.52052,0.5338,0.540575,0.5462,0.5542,0.5586,0.5630999999999999,0.5656,0.5685,0.5705
North America / USA / North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.025,0.06475,0.0941,0.1369,0.1802,0.2473,0.30219999999999997,0.3407,0.3608,0.37629999999999997,0.39159999999999995,0.4257,0.43439999999999995,0.4426,0.4537,0.4696666666666667,0.4868,0.5008,0.5171,0.5267000000000001,0.5347999999999999,0.5405,0.555,0.565625,0.5722999999999999,0.581,0.5871,0.5915333333333334,0.5949,0.5972999999999999,0.6003000000000001
North America / USA / Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060999999999999995,0.0176,0.044800000000000006,0.083,0.11560000000000001,0.1448,0.1924,0.2377,0.2755,0.2921,0.3041,0.3231,0.3331,0.3404,0.34840000000000004,0.36340000000000006,0.39166666666666666,0.4127,0.4289,0.4396,0.44780000000000003,0.4545,0.46108000000000005,0.4686,0.47452500000000003,0.4804,0.4919,0.4965,0.5007,0.5035000000000001,0.5056,0.507
Europe / Spain / Castilla Y Leon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0168,0.0256,0.0296,0.044,0.060899999999999996,0.07239999999999999,0.1094,0.1543,0.1973,0.2741,0.3553,0.4661,0.555,0.6115999999999999,0.6727,0.7331,0.772,0.7861,0.7931,0.7985333333333333,0.8017,0.8040999999999999,0.807,0.8098000000000001,0.8146,0.8181,0.8199,0.8312,0.8433142857142857,0.8569142857142856,0.8615285714285714
Europe / Germany / Rhineland Palatinate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0126,0.0217,0.030699999999999998,0.0409,0.054000000000000006,0.0662,0.0802,0.1137,0.1789,0.2676,0.3586,0.4313,0.5012,0.5563,0.5971,0.6196,0.6378,0.6535,0.6642,0.6735,0.6819,0.6916,0.7028,0.7155,0.7264,0.7413,0.7515999999999999,0.7584000000000001,0.7624,0.7646,0.7662
North America / USA / North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020499999999999997,0.049400000000000006,0.08215,0.1189,0.168,0.22899999999999998,0.2956,0.3319,0.3521,0.36590000000000006,0.37579999999999997,0.3871,0.39390000000000003,0.39899999999999997,0.4042,0.4115,0.4212,0.43329999999999996,0.4451,0.4543,0.45899999999999996,0.4817,0.4868,0.5154,0.5235500000000001,0.5301,0.5379,0.5409,0.5435,0.545,0.5458,0.5465
North America / USA / Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0256,0.0682,0.1114,0.1477,0.2052,0.2414,0.2805,0.3036,0.3182,0.3301,0.3411,0.35710000000000003,0.3635,0.3699,0.3791,0.3932,0.40630000000000005,0.41659999999999997,0.4301,0.4389,0.44789999999999996,0.45484,0.4642,0.473125,0.479,0.496,0.5001,0.5045333333333334,0.5072,0.5091,0.511
North America / Mexico / Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0006,0.0034999999999999996,0.0046,0.0055000000000000005,0.0085,0.0301,0.059800000000000006,0.0814,0.0951,0.11560000000000001,0.14550000000000002,0.1594,0.1839,0.20829999999999999,0.23739999999999997,0.2735,0.3201,0.35259999999999997,0.3898,0.465,0.4864,0.4984,0.5078,0.5583,0.5685,0.5874,0.5957,0.6039,0.6073,0.6106,0.6124333333333334
Europe / France / Hauts De France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0176,0.028999999999999998,0.0365,0.0466,0.0675,0.0981,0.1335,0.1641,0.21489999999999998,0.2914,0.3764,0.4537,0.5028,0.5573,0.6154999999999999,0.6454000000000001,0.6634,0.6748000000000001,0.6827,0.6896,0.6984,0.7132999999999999,0.7298,0.7451000000000001,0.7592,0.7693000000000001,0.7765000000000001,0.7794,0.7805,0.7811
Asia / Japan / Fukuoka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0017666666666666666,0.005699999999999999,0.0083,0.015600000000000001,0.03,0.0593,0.1235,0.1968,0.2647,0.339975,0.4108,0.47887500000000005,0.54295,0.6122,0.6731999999999999,0.7238,0.7547,0.7709999999999999,0.7779,0.781725,0.7882384615384616,0.7906,0.7925,0.7942,0.7959999999999999,0.79725,0.7992
Europe / Denmark / Midtjylland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0217,0.0273,0.0319,0.0501,0.06509999999999999,0.08109999999999999,0.109,0.1723,0.2087,0.25120000000000003,0.3118,0.3979,0.5051,0.5935,0.6876000000000001,0.7259,0.7402,0.7483,0.7539,0.7578,0.7617,0.7665000000000001,0.775,0.7834,0.8055,0.8177,0.8219,0.8234,0.8242,0.8245999999999999,0.8249
North America / USA / Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0341,0.060200000000000004,0.1003,0.1502,0.2041,0.2753,0.3348,0.3909,0.4214,0.4422,0.47090000000000004,0.4817,0.4919,0.4993,0.5111,0.5254333333333333,0.5367000000000001,0.5477000000000001,0.5557,0.5624,0.568,0.5720000000000001,0.5867,0.5952000000000001,0.6036,0.6124,0.6182,0.623,0.626,0.6281,0.632
